sampleID	SubjectID	Tissue
SRR975551	S2	primary_colorectal_cancer
SRR975552	S3	primary_colorectal_cancer
SRR975554	S6	primary_colorectal_cancer
SRR975553	S5	primary_colorectal_cancer
SRR975555	S7	primary_colorectal_cancer
SRR975556	S8	primary_colorectal_cancer
SRR975557	S9	primary_colorectal_cancer
SRR975558	S10	primary_colorectal_cancer
SRR975559	S12	primary_colorectal_cancer
SRR975560	S13	primary_colorectal_cancer
SRR975561	S17	primary_colorectal_cancer
SRR975562	S18	primary_colorectal_cancer
SRR975563	S19	primary_colorectal_cancer
SRR975564	S20	primary_colorectal_cancer
SRR975565	S21	primary_colorectal_cancer
SRR975566	S22	primary_colorectal_cancer
SRR975567	S23	primary_colorectal_cancer
SRR975568	S24	primary_colorectal_cancer
SRR975569	S2	normal_colon
SRR975570	S3	normal_colon
SRR975571	S5	normal_colon
SRR975572	S6	normal_colon
SRR975573	S7	normal_colon
SRR975574	S8	normal_colon
SRR975575	S9	normal_colon
SRR975576	S10	normal_colon
SRR975577	S12	normal_colon
SRR975578	S13	normal_colon
SRR975579	S17	normal_colon
SRR975580	S18	normal_colon
SRR975581	S19	normal_colon
SRR975582	S20	normal_colon
SRR975583	S21	normal_colon
SRR975584	S22	normal_colon
SRR975585	S23	normal_colon
SRR975586	S24	normal_colon
SRR975587	S2	metastasized_cancer_to_liver
SRR975588	S3	metastasized_cancer_to_liver
SRR975589	S5	metastasized_cancer_to_liver
SRR975590	S6	metastasized_cancer_to_liver
SRR975591	S7	metastasized_cancer_to_liver
SRR975592	S8	metastasized_cancer_to_liver
SRR975593	S9	metastasized_cancer_to_liver
SRR975594	S10	metastasized_cancer_to_liver
SRR975595	S12	metastasized_cancer_to_liver
SRR975597	S17	metastasized_cancer_to_liver
SRR975596	S13	metastasized_cancer_to_liver
SRR975598	S18	metastasized_cancer_to_liver
SRR975599	S19	metastasized_cancer_to_liver
SRR975600	S20	metastasized_cancer_to_liver
SRR975601	S21	metastasized_cancer_to_liver
SRR975602	S22	metastasized_cancer_to_liver
SRR975603	S23	metastasized_cancer_to_liver
SRR975604	S24	metastasized_cancer_to_liver
